date,home,away,winner,loser,winner_pts,loser_pts
2026-05-07,Chicago Cubs,Cincinnati Reds,Chicago Cubs,Cincinnati Reds,8,3
2026-05-07,Colorado Rockies,New York Mets,Colorado Rockies,New York Mets,6,2
2026-05-07,Arizona Diamondbacks,Pittsburgh Pirates,Pittsburgh Pirates,Arizona Diamondbacks,4,2
2026-05-07,Philadelphia Phillies,Athletics,Athletics,Philadelphia Phillies,11,1
2026-05-07,Miami Marlins,Baltimore Orioles,Miami Marlins,Baltimore Orioles,4,3
2026-05-07,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,Boston Red Sox,8,4
2026-05-07,San Diego Padres,St. Louis Cardinals,St. Louis Cardinals,San Diego Padres,2,1
2026-05-08,Cincinnati Reds,Houston Astros,Houston Astros,Cincinnati Reds,10,0
2026-05-08,Philadelphia Phillies,Colorado Rockies,Colorado Rockies,Philadelphia Phillies,9,7
2026-05-08,Baltimore Orioles,Athletics,Athletics,Baltimore Orioles,4,3
2026-05-08,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,Los Angeles Angels,2,0
2026-05-08,Boston Red Sox,Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,2,0
2026-05-08,Miami Marlins,Washington Nationals,Washington Nationals,Miami Marlins,3,2
2026-05-08,Cleveland Guardians,Minnesota Twins,Cleveland Guardians,Minnesota Twins,6,4
2026-05-08,Kansas City Royals,Detroit Tigers,Kansas City Royals,Detroit Tigers,4,3
2026-05-08,Chicago White Sox,Seattle Mariners,Seattle Mariners,Chicago White Sox,12,8
2026-05-08,Milwaukee Brewers,New York Yankees,Milwaukee Brewers,New York Yankees,6,0
2026-05-08,Texas Rangers,Chicago Cubs,Chicago Cubs,Texas Rangers,7,1
2026-05-08,Arizona Diamondbacks,New York Mets,New York Mets,Arizona Diamondbacks,3,1
2026-05-08,San Diego Padres,St. Louis Cardinals,St. Louis Cardinals,San Diego Padres,6,0
2026-05-08,Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,Atlanta Braves,3,1
2026-05-08,San Francisco Giants,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,5,2
2026-05-09,Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays,Los Angeles Angels,11,1
2026-05-09,Baltimore Orioles,Athletics,Athletics,Baltimore Orioles,6,2
2026-05-09,Cincinnati Reds,Houston Astros,Cincinnati Reds,Houston Astros,3,1
2026-05-09,Miami Marlins,Washington Nationals,Miami Marlins,Washington Nationals,8,7
2026-05-09,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,Colorado Rockies,9,3
2026-05-09,Cleveland Guardians,Minnesota Twins,Minnesota Twins,Cleveland Guardians,2,1
2026-05-09,Texas Rangers,Chicago Cubs,Texas Rangers,Chicago Cubs,6,0
2026-05-09,Kansas City Royals,Detroit Tigers,Kansas City Royals,Detroit Tigers,5,1
2026-05-09,Chicago White Sox,Seattle Mariners,Chicago White Sox,Seattle Mariners,6,1
2026-05-09,Milwaukee Brewers,New York Yankees,Milwaukee Brewers,New York Yankees,4,3
2026-05-09,Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,New York Mets,2,1
2026-05-09,San Diego Padres,St. Louis Cardinals,San Diego Padres,St. Louis Cardinals,4,2
2026-05-09,San Francisco Giants,Pittsburgh Pirates,Pittsburgh Pirates,San Francisco Giants,13,3
2026-05-09,Los Angeles Dodgers,Atlanta Braves,Atlanta Braves,Los Angeles Dodgers,7,2
2026-05-10,Miami Marlins,Washington Nationals,Miami Marlins,Washington Nationals,5,2
2026-05-10,Baltimore Orioles,Athletics,Baltimore Orioles,Athletics,2,1
2026-05-10,Boston Red Sox,Tampa Bay Rays,Tampa Bay Rays,Boston Red Sox,4,1
2026-05-10,Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,Colorado Rockies,6,0
2026-05-10,Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels,Toronto Blue Jays,6,1
2026-05-10,Cincinnati Reds,Houston Astros,Cincinnati Reds,Houston Astros,5,0
2026-05-10,Cleveland Guardians,Minnesota Twins,Minnesota Twins,Cleveland Guardians,5,4
2026-05-10,Chicago White Sox,Seattle Mariners,Chicago White Sox,Seattle Mariners,2,1
2026-05-10,Milwaukee Brewers,New York Yankees,Milwaukee Brewers,New York Yankees,4,3
2026-05-10,Texas Rangers,Chicago Cubs,Texas Rangers,Chicago Cubs,3,0
2026-05-10,San Francisco Giants,Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,7,6
2026-05-10,Arizona Diamondbacks,New York Mets,Arizona Diamondbacks,New York Mets,5,1
2026-05-10,San Diego Padres,St. Louis Cardinals,San Diego Padres,St. Louis Cardinals,3,2
2026-05-10,Los Angeles Dodgers,Atlanta Braves,Atlanta Braves,Los Angeles Dodgers,7,2
2026-05-10,Kansas City Royals,Detroit Tigers,Detroit Tigers,Kansas City Royals,6,3
2026-05-11,Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,7,2
2026-05-11,Baltimore Orioles,New York Yankees,Baltimore Orioles,New York Yankees,3,2
2026-05-11,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,8,5
2026-05-11,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks,Texas Rangers,1,0
2026-05-11,Houston Astros,Seattle Mariners,Seattle Mariners,Houston Astros,3,1
2026-05-11,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants,Los Angeles Dodgers,9,3
2026-05-12,Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,3,2
2026-05-12,Baltimore Orioles,New York Yankees,New York Yankees,Baltimore Orioles,6,2
2026-05-12,Cincinnati Reds,Washington Nationals,Washington Nationals,Cincinnati Reds,10,4
2026-05-12,Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies,3,1
2026-05-12,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies,Boston Red Sox,2,1
2026-05-12,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays,Toronto Blue Jays,7,6
2026-05-12,New York Mets,Detroit Tigers,New York Mets,Detroit Tigers,10,2
2026-05-12,Atlanta Braves,Chicago Cubs,Atlanta Braves,Chicago Cubs,5,2
2026-05-12,Chicago White Sox,Kansas City Royals,Chicago White Sox,Kansas City Royals,6,5
2026-05-12,Minnesota Twins,Miami Marlins,Minnesota Twins,Miami Marlins,3,0
2026-05-12,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,San Diego Padres,6,4
2026-05-12,Texas Rangers,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks,7,4
2026-05-12,Houston Astros,Seattle Mariners,Seattle Mariners,Houston Astros,10,2
2026-05-12,Athletics,St. Louis Cardinals,St. Louis Cardinals,Athletics,6,4
2026-05-12,Los Angeles Dodgers,San Francisco Giants,San Francisco Giants,Los Angeles Dodgers,6,2
2026-05-13,Baltimore Orioles,New York Yankees,Baltimore Orioles,New York Yankees,7,0
2026-05-13,Cleveland Guardians,Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,4,2
2026-05-13,Cincinnati Reds,Washington Nationals,Washington Nationals,Cincinnati Reds,8,7
2026-05-13,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies,Pittsburgh Pirates,10,4
2026-05-13,Boston Red Sox,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies,3,1
2026-05-13,Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays,Tampa Bay Rays,5,3
2026-05-13,New York Mets,Detroit Tigers,New York Mets,Detroit Tigers,3,2
2026-05-13,Atlanta Braves,Chicago Cubs,Atlanta Braves,Chicago Cubs,4,1
2026-05-13,Chicago White Sox,Kansas City Royals,Chicago White Sox,Kansas City Royals,6,5
2026-05-13,Minnesota Twins,Miami Marlins,Miami Marlins,Minnesota Twins,9,5
2026-05-13,Milwaukee Brewers,San Diego Padres,San Diego Padres,Milwaukee Brewers,3,1
2026-05-13,Texas Rangers,Arizona Diamondbacks,Texas Rangers,Arizona Diamondbacks,6,5
2026-05-13,Houston Astros,Seattle Mariners,Houston Astros,Seattle Mariners,4,3
2026-05-13,Athletics,St. Louis Cardinals,Athletics,St. Louis Cardinals,6,2
2026-05-13,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,4,0
2026-05-14,Pittsburgh Pirates,Colorado Rockies,Pittsburgh Pirates,Colorado Rockies,7,2
2026-05-14,Cincinnati Reds,Washington Nationals,Cincinnati Reds,Washington Nationals,11,1
2026-05-14,New York Mets,Detroit Tigers,New York Mets,Detroit Tigers,9,4
2026-05-14,Minnesota Twins,Miami Marlins,Minnesota Twins,Miami Marlins,9,1
2026-05-14,Milwaukee Brewers,San Diego Padres,Milwaukee Brewers,San Diego Padres,7,1
2026-05-14,Houston Astros,Seattle Mariners,Seattle Mariners,Houston Astros,8,3
2026-05-14,Athletics,St. Louis Cardinals,St. Louis Cardinals,Athletics,5,4
2026-05-14,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies,Boston Red Sox,3,1
2026-05-14,Atlanta Braves,Chicago Cubs,Chicago Cubs,Atlanta Braves,2,0
2026-05-14,Chicago White Sox,Kansas City Royals,Chicago White Sox,Kansas City Royals,6,2
2026-05-14,Los Angeles Dodgers,San Francisco Giants,Los Angeles Dodgers,San Francisco Giants,5,2
2026-05-15,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies,Pittsburgh Pirates,11,9
2026-05-15,Washington Nationals,Baltimore Orioles,Washington Nationals,Baltimore Orioles,3,2
2026-05-15,Detroit Tigers,Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays,3,2
2026-05-15,Cleveland Guardians,Cincinnati Reds,Cincinnati Reds,Cleveland Guardians,7,6
2026-05-15,Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,Miami Marlins,7,2
2026-05-15,Minnesota Twins,Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,3,2
2026-05-15,Atlanta Braves,Boston Red Sox,Atlanta Braves,Boston Red Sox,3,2
2026-05-15,New York Mets,New York Yankees,New York Yankees,New York Mets,5,2
2026-05-15,Chicago White Sox,Chicago Cubs,Chicago Cubs,Chicago White Sox,10,5
2026-05-15,Houston Astros,Texas Rangers,Houston Astros,Texas Rangers,2,0
2026-05-15,St. Louis Cardinals,Kansas City Royals,St. Louis Cardinals,Kansas City Royals,5,4
2026-05-15,Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,Colorado Rockies,9,1
2026-05-15,Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,6,0
2026-05-15,Seattle Mariners,San Diego Padres,San Diego Padres,Seattle Mariners,2,0
2026-05-15,Athletics,San Francisco Giants,Athletics,San Francisco Giants,5,2
2026-05-16,Detroit Tigers,Toronto Blue Jays,Toronto Blue Jays,Detroit Tigers,2,1
2026-05-16,St. Louis Cardinals,Kansas City Royals,St. Louis Cardinals,Kansas City Royals,4,2
2026-05-16,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,4,2
2026-05-16,Washington Nationals,Baltimore Orioles,Washington Nationals,Baltimore Orioles,13,3
2026-05-16,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies,Pittsburgh Pirates,6,0
2026-05-16,Tampa Bay Rays,Miami Marlins,Miami Marlins,Tampa Bay Rays,10,5
2026-05-16,Cleveland Guardians,Cincinnati Reds,Cleveland Guardians,Cincinnati Reds,7,4
2026-05-16,Houston Astros,Texas Rangers,Houston Astros,Texas Rangers,4,1
2026-05-16,Chicago White Sox,Chicago Cubs,Chicago White Sox,Chicago Cubs,8,3
2026-05-16,Minnesota Twins,Milwaukee Brewers,Milwaukee Brewers,Minnesota Twins,2,1
2026-05-16,Seattle Mariners,San Diego Padres,San Diego Padres,Seattle Mariners,7,4
2026-05-16,Atlanta Braves,Boston Red Sox,Boston Red Sox,Atlanta Braves,3,2
2026-05-16,New York Mets,New York Yankees,New York Mets,New York Yankees,6,3
2026-05-16,Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,12,2
2026-05-16,Athletics,San Francisco Giants,San Francisco Giants,Athletics,6,4
2026-05-17,Tampa Bay Rays,Miami Marlins,Tampa Bay Rays,Miami Marlins,6,3
2026-05-17,Washington Nationals,Baltimore Orioles,Baltimore Orioles,Washington Nationals,7,3
2026-05-17,Pittsburgh Pirates,Philadelphia Phillies,Philadelphia Phillies,Pittsburgh Pirates,6,0
2026-05-17,Atlanta Braves,Boston Red Sox,Atlanta Braves,Boston Red Sox,8,1
2026-05-17,Cleveland Guardians,Cincinnati Reds,Cleveland Guardians,Cincinnati Reds,10,3
2026-05-17,Detroit Tigers,Toronto Blue Jays,Toronto Blue Jays,Detroit Tigers,4,1
2026-05-17,New York Mets,New York Yankees,New York Mets,New York Yankees,7,6
2026-05-17,Houston Astros,Texas Rangers,Texas Rangers,Houston Astros,8,0
2026-05-17,Chicago White Sox,Chicago Cubs,Chicago White Sox,Chicago Cubs,9,8
2026-05-17,Minnesota Twins,Milwaukee Brewers,Minnesota Twins,Milwaukee Brewers,5,4
2026-05-17,St. Louis Cardinals,Kansas City Royals,Kansas City Royals,St. Louis Cardinals,2,0
2026-05-17,Colorado Rockies,Arizona Diamondbacks,Arizona Diamondbacks,Colorado Rockies,8,6
2026-05-17,Athletics,San Francisco Giants,San Francisco Giants,Athletics,10,1
2026-05-17,Los Angeles Angels,Los Angeles Dodgers,Los Angeles Dodgers,Los Angeles Angels,10,1
2026-05-17,Seattle Mariners,San Diego Padres,San Diego Padres,Seattle Mariners,8,3
2026-05-18,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Detroit Tigers,8,2
2026-05-18,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,16,6
2026-05-18,Philadelphia Phillies,Cincinnati Reds,Philadelphia Phillies,Cincinnati Reds,5,4
2026-05-18,Miami Marlins,Atlanta Braves,Miami Marlins,Atlanta Braves,10,0
2026-05-18,Washington Nationals,New York Mets,New York Mets,Washington Nationals,16,7
2026-05-18,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,7,6
2026-05-18,Kansas City Royals,Boston Red Sox,Boston Red Sox,Kansas City Royals,3,1
2026-05-18,Minnesota Twins,Houston Astros,Minnesota Twins,Houston Astros,6,3
2026-05-18,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,Chicago Cubs,9,3
2026-05-18,Colorado Rockies,Texas Rangers,Colorado Rockies,Texas Rangers,7,6
2026-05-18,Los Angeles Angels,Athletics,Los Angeles Angels,Athletics,2,1
2026-05-18,San Diego Padres,Los Angeles Dodgers,San Diego Padres,Los Angeles Dodgers,1,0
2026-05-18,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,12,2
2026-05-18,Seattle Mariners,Chicago White Sox,Seattle Mariners,Chicago White Sox,6,1
2026-05-19,Miami Marlins,Atlanta Braves,Atlanta Braves,Miami Marlins,8,4
2026-05-19,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Detroit Tigers,4,3
2026-05-19,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,4,1
2026-05-19,Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds,Philadelphia Phillies,4,1
2026-05-19,Washington Nationals,New York Mets,Washington Nationals,New York Mets,9,6
2026-05-19,New York Yankees,Toronto Blue Jays,New York Yankees,Toronto Blue Jays,5,4
2026-05-19,Kansas City Royals,Boston Red Sox,Boston Red Sox,Kansas City Royals,7,1
2026-05-19,Minnesota Twins,Houston Astros,Houston Astros,Minnesota Twins,2,1
2026-05-19,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,Chicago Cubs,5,2
2026-05-19,St. Louis Cardinals,Pittsburgh Pirates,St. Louis Cardinals,Pittsburgh Pirates,9,6
2026-05-19,Colorado Rockies,Texas Rangers,Texas Rangers,Colorado Rockies,10,0
2026-05-19,Los Angeles Angels,Athletics,Athletics,Los Angeles Angels,14,6
2026-05-19,San Diego Padres,Los Angeles Dodgers,Los Angeles Dodgers,San Diego Padres,5,4
2026-05-19,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,5,3
2026-05-19,Seattle Mariners,Chicago White Sox,Chicago White Sox,Seattle Mariners,2,1
2026-05-20,Philadelphia Phillies,Cincinnati Reds,Cincinnati Reds,Philadelphia Phillies,9,4
2026-05-20,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,5,3
2026-05-20,Minnesota Twins,Houston Astros,Minnesota Twins,Houston Astros,4,1
2026-05-20,Colorado Rockies,Texas Rangers,Texas Rangers,Colorado Rockies,5,4
2026-05-20,Arizona Diamondbacks,San Francisco Giants,Arizona Diamondbacks,San Francisco Giants,6,3
2026-05-20,Seattle Mariners,Chicago White Sox,Seattle Mariners,Chicago White Sox,5,4
2026-05-20,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Detroit Tigers,3,2
2026-05-20,Miami Marlins,Atlanta Braves,Atlanta Braves,Miami Marlins,9,1
2026-05-20,Washington Nationals,New York Mets,Washington Nationals,New York Mets,8,4
2026-05-20,New York Yankees,Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2,1
2026-05-20,Kansas City Royals,Boston Red Sox,Boston Red Sox,Kansas City Royals,4,3
2026-05-20,Chicago Cubs,Milwaukee Brewers,Milwaukee Brewers,Chicago Cubs,5,0
2026-05-20,St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,St. Louis Cardinals,7,0
2026-05-20,San Diego Padres,Los Angeles Dodgers,Los Angeles Dodgers,San Diego Padres,4,0
2026-05-20,Los Angeles Angels,Athletics,Athletics,Los Angeles Angels,6,5
2026-05-21,Detroit Tigers,Cleveland Guardians,Cleveland Guardians,Detroit Tigers,3,1
2026-05-21,St. Louis Cardinals,Pittsburgh Pirates,Pittsburgh Pirates,St. Louis Cardinals,6,2
2026-05-21,Washington Nationals,New York Mets,New York Mets,Washington Nationals,2,1
2026-05-21,Miami Marlins,Atlanta Braves,Atlanta Braves,Miami Marlins,9,3
2026-05-21,New York Yankees,Toronto Blue Jays,Toronto Blue Jays,New York Yankees,2,0
2026-05-21,Los Angeles Angels,Athletics,Athletics,Los Angeles Angels,3,2
2026-05-21,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,2,1
2026-05-22,Chicago Cubs,Houston Astros,Houston Astros,Chicago Cubs,4,2
2026-05-22,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians,Philadelphia Phillies,1,0
2026-05-22,New York Yankees,Tampa Bay Rays,Tampa Bay Rays,New York Yankees,4,2
2026-05-22,Toronto Blue Jays,Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh Pirates,6,2
2026-05-22,Boston Red Sox,Minnesota Twins,Minnesota Twins,Boston Red Sox,8,6
2026-05-22,Miami Marlins,New York Mets,Miami Marlins,New York Mets,2,1
2026-05-22,Baltimore Orioles,Detroit Tigers,Baltimore Orioles,Detroit Tigers,7,4
2026-05-22,Atlanta Braves,Washington Nationals,Atlanta Braves,Washington Nationals,5,4
2026-05-22,Kansas City Royals,Seattle Mariners,Seattle Mariners,Kansas City Royals,2,0
2026-05-22,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,5,1
2026-05-22,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,9,6
2026-05-22,Arizona Diamondbacks,Colorado Rockies,Colorado Rockies,Arizona Diamondbacks,3,2
2026-05-22,San Diego Padres,Athletics,San Diego Padres,Athletics,7,3
2026-05-22,San Francisco Giants,Chicago White Sox,Chicago White Sox,San Francisco Giants,9,4
2026-05-23,Cincinnati Reds,St. Louis Cardinals,St. Louis Cardinals,Cincinnati Reds,8,1
2026-05-23,Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,St. Louis Cardinals,7,6
2026-05-23,Chicago Cubs,Houston Astros,Houston Astros,Chicago Cubs,3,0
2026-05-23,Toronto Blue Jays,Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh Pirates,5,2
2026-05-23,Philadelphia Phillies,Cleveland Guardians,Philadelphia Phillies,Cleveland Guardians,3,0
2026-05-23,San Francisco Giants,Chicago White Sox,San Francisco Giants,Chicago White Sox,10,3
2026-05-23,Kansas City Royals,Seattle Mariners,Kansas City Royals,Seattle Mariners,5,0
2026-05-23,Boston Red Sox,Minnesota Twins,Minnesota Twins,Boston Red Sox,4,2
2026-05-23,Atlanta Braves,Washington Nationals,Washington Nationals,Atlanta Braves,2,0
2026-05-23,Miami Marlins,New York Mets,Miami Marlins,New York Mets,4,1
2026-05-23,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,11,3
2026-05-23,San Diego Padres,Athletics,San Diego Padres,Athletics,2,0
2026-05-23,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,5,2
2026-05-23,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,5,4
2026-05-24,Toronto Blue Jays,Pittsburgh Pirates,Pittsburgh Pirates,Toronto Blue Jays,4,1
2026-05-24,Baltimore Orioles,Detroit Tigers,Baltimore Orioles,Detroit Tigers,5,3
2026-05-24,Baltimore Orioles,Detroit Tigers,Detroit Tigers,Baltimore Orioles,4,1
2026-05-24,Boston Red Sox,Minnesota Twins,Minnesota Twins,Boston Red Sox,6,5
2026-05-24,Philadelphia Phillies,Cleveland Guardians,Cleveland Guardians,Philadelphia Phillies,3,1
2026-05-24,New York Yankees,Tampa Bay Rays,New York Yankees,Tampa Bay Rays,2,0
2026-05-24,Miami Marlins,New York Mets,Miami Marlins,New York Mets,4,0
2026-05-24,Kansas City Royals,Seattle Mariners,Kansas City Royals,Seattle Mariners,8,6
2026-05-24,Milwaukee Brewers,Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,5,1
2026-05-24,Chicago Cubs,Houston Astros,Houston Astros,Chicago Cubs,8,5
2026-05-24,San Francisco Giants,Chicago White Sox,San Francisco Giants,Chicago White Sox,8,5
2026-05-24,Arizona Diamondbacks,Colorado Rockies,Arizona Diamondbacks,Colorado Rockies,9,1
2026-05-24,San Diego Padres,Athletics,Athletics,San Diego Padres,5,2
2026-05-24,Atlanta Braves,Washington Nationals,Washington Nationals,Atlanta Braves,2,1
2026-05-24,Los Angeles Angels,Texas Rangers,Los Angeles Angels,Texas Rangers,2,1
2026-05-25,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,2,1
2026-05-25,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,9,7
2026-05-25,Chicago White Sox,Minnesota Twins,Chicago White Sox,Minnesota Twins,3,1
2026-05-25,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,5,1
2026-05-25,Kansas City Royals,New York Yankees,New York Yankees,Kansas City Royals,4,3
2026-05-25,New York Mets,Cincinnati Reds,Cincinnati Reds,New York Mets,7,2
2026-05-25,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,San Francisco Giants,6,2
2026-05-25,Cleveland Guardians,Washington Nationals,Washington Nationals,Cleveland Guardians,10,2
2026-05-25,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,3,0
2026-05-25,Texas Rangers,Houston Astros,Houston Astros,Texas Rangers,9,0
2026-05-25,Toronto Blue Jays,Miami Marlins,Miami Marlins,Toronto Blue Jays,8,2
2026-05-25,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,5,3
2026-05-25,Athletics,Seattle Mariners,Seattle Mariners,Athletics,9,2
2026-05-26,Cleveland Guardians,Washington Nationals,Washington Nationals,Cleveland Guardians,6,3
2026-05-26,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,6,1
2026-05-26,Detroit Tigers,Los Angeles Angels,Los Angeles Angels,Detroit Tigers,10,6
2026-05-26,Pittsburgh Pirates,Chicago Cubs,Pittsburgh Pirates,Chicago Cubs,11,1
2026-05-26,Boston Red Sox,Atlanta Braves,Atlanta Braves,Boston Red Sox,7,6
2026-05-26,Toronto Blue Jays,Miami Marlins,Toronto Blue Jays,Miami Marlins,8,1
2026-05-26,New York Mets,Cincinnati Reds,Cincinnati Reds,New York Mets,7,2
2026-05-26,Chicago White Sox,Minnesota Twins,Minnesota Twins,Chicago White Sox,5,3
2026-05-26,Kansas City Royals,New York Yankees,New York Yankees,Kansas City Royals,11,1
2026-05-26,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,6,0
2026-05-26,Texas Rangers,Houston Astros,Texas Rangers,Houston Astros,10,7
2026-05-26,Athletics,Seattle Mariners,Seattle Mariners,Athletics,4,1
2026-05-26,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,4,3
2026-05-26,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,San Francisco Giants,7,5
2026-05-26,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,15,6
2026-05-27,Toronto Blue Jays,Miami Marlins,Toronto Blue Jays,Miami Marlins,2,1
2026-05-27,Cleveland Guardians,Washington Nationals,Cleveland Guardians,Washington Nationals,3,2
2026-05-27,Milwaukee Brewers,St. Louis Cardinals,Milwaukee Brewers,St. Louis Cardinals,2,1
2026-05-27,Athletics,Seattle Mariners,Seattle Mariners,Athletics,9,1
2026-05-27,San Francisco Giants,Arizona Diamondbacks,Arizona Diamondbacks,San Francisco Giants,3,2
2026-05-27,San Diego Padres,Philadelphia Phillies,Philadelphia Phillies,San Diego Padres,3,0
2026-05-27,Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,11,2
2026-05-27,Detroit Tigers,Los Angeles Angels,Detroit Tigers,Los Angeles Angels,4,0
2026-05-27,Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,Pittsburgh Pirates,10,4
2026-05-27,Boston Red Sox,Atlanta Braves,Boston Red Sox,Atlanta Braves,8,0
2026-05-27,New York Mets,Cincinnati Reds,New York Mets,Cincinnati Reds,4,2
2026-05-27,Chicago White Sox,Minnesota Twins,Chicago White Sox,Minnesota Twins,12,2
2026-05-27,Kansas City Royals,New York Yankees,New York Yankees,Kansas City Royals,7,0
2026-05-27,Texas Rangers,Houston Astros,Houston Astros,Texas Rangers,4,3
2026-05-27,Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,Colorado Rockies,4,1
2026-05-28,Detroit Tigers,Los Angeles Angels,Los Angeles Angels,Detroit Tigers,7,1
2026-05-28,Chicago White Sox,Minnesota Twins,Chicago White Sox,Minnesota Twins,6,2
2026-05-28,Boston Red Sox,Atlanta Braves,Atlanta Braves,Boston Red Sox,10,2
2026-05-28,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,2,1
2026-05-28,Pittsburgh Pirates,Chicago Cubs,Chicago Cubs,Pittsburgh Pirates,7,2
2026-05-28,Texas Rangers,Houston Astros,Houston Astros,Texas Rangers,5,1
2026-05-29,Cincinnati Reds,Atlanta Braves,Atlanta Braves,Cincinnati Reds,8,3
2026-05-29,Washington Nationals,San Diego Padres,San Diego Padres,Washington Nationals,7,5
2026-05-29,Pittsburgh Pirates,Minnesota Twins,Pittsburgh Pirates,Minnesota Twins,6,5
2026-05-29,Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,Baltimore Orioles,6,5
