date,home,away,winner,loser,winner_pts,loser_pts,end_type
2021-11-10,Calgary Flames,San Jose Sharks,San Jose Sharks,Calgary Flames,4,1,REG
2021-11-10,Vancouver Canucks,Anaheim Ducks,Anaheim Ducks,Vancouver Canucks,3,2,OT
2021-11-10,Vegas Golden Knights,Seattle Kraken,Vegas Golden Knights,Seattle Kraken,4,2,REG
2021-11-11,Philadelphia Flyers,Toronto Maple Leafs,Toronto Maple Leafs,Philadelphia Flyers,3,0,REG
2021-11-11,Dallas Stars,Nashville Predators,Nashville Predators,Dallas Stars,4,2,REG
2021-11-11,Arizona Coyotes,Minnesota Wild,Minnesota Wild,Arizona Coyotes,5,2,REG
2021-11-12,Boston Bruins,Edmonton Oilers,Edmonton Oilers,Boston Bruins,5,3,REG
2021-11-12,Montreal Canadiens,Calgary Flames,Montreal Canadiens,Calgary Flames,4,2,REG
2021-11-12,Ottawa Senators,Los Angeles Kings,Los Angeles Kings,Ottawa Senators,2,0,REG
2021-11-12,New Jersey Devils,New York Islanders,New Jersey Devils,New York Islanders,4,0,REG
2021-11-12,Pittsburgh Penguins,Florida Panthers,Pittsburgh Penguins,Florida Panthers,3,2,SO
2021-11-12,Detroit Red Wings,Washington Capitals,Washington Capitals,Detroit Red Wings,2,0,REG
2021-11-12,St. Louis Blues,Nashville Predators,Nashville Predators,St. Louis Blues,4,3,OT
2021-11-12,Winnipeg Jets,San Jose Sharks,Winnipeg Jets,San Jose Sharks,4,1,REG
2021-11-12,Colorado Avalanche,Vancouver Canucks,Colorado Avalanche,Vancouver Canucks,5,1,REG
2021-11-12,Vegas Golden Knights,Minnesota Wild,Vegas Golden Knights,Minnesota Wild,3,2,REG
2021-11-12,Seattle Kraken,Anaheim Ducks,Anaheim Ducks,Seattle Kraken,7,4,REG
2021-11-13,Buffalo Sabres,Edmonton Oilers,Buffalo Sabres,Edmonton Oilers,3,2,REG
2021-11-13,Toronto Maple Leafs,Calgary Flames,Toronto Maple Leafs,Calgary Flames,2,1,OT
2021-11-13,Carolina Hurricanes,Philadelphia Flyers,Philadelphia Flyers,Carolina Hurricanes,2,1,REG
2021-11-13,Columbus Blue Jackets,Washington Capitals,Washington Capitals,Columbus Blue Jackets,4,3,REG
2021-11-13,Chicago Blackhawks,Arizona Coyotes,Chicago Blackhawks,Arizona Coyotes,2,1,REG
2021-11-13,New Jersey Devils,Boston Bruins,Boston Bruins,New Jersey Devils,5,2,REG
2021-11-14,Buffalo Sabres,Toronto Maple Leafs,Toronto Maple Leafs,Buffalo Sabres,5,4,REG
2021-11-14,Ottawa Senators,Pittsburgh Penguins,Ottawa Senators,Pittsburgh Penguins,6,3,REG
2021-11-14,Detroit Red Wings,Montreal Canadiens,Detroit Red Wings,Montreal Canadiens,3,2,OT
2021-11-14,Tampa Bay Lightning,Florida Panthers,Tampa Bay Lightning,Florida Panthers,3,2,OT
2021-11-14,Columbus Blue Jackets,New York Rangers,New York Rangers,Columbus Blue Jackets,5,3,REG
2021-11-14,Winnipeg Jets,Los Angeles Kings,Winnipeg Jets,Los Angeles Kings,3,2,OT
2021-11-14,Carolina Hurricanes,St. Louis Blues,Carolina Hurricanes,St. Louis Blues,3,2,REG
2021-11-14,Nashville Predators,Arizona Coyotes,Nashville Predators,Arizona Coyotes,4,1,REG
2021-11-14,Dallas Stars,Philadelphia Flyers,Dallas Stars,Philadelphia Flyers,5,2,REG
2021-11-14,Colorado Avalanche,San Jose Sharks,Colorado Avalanche,San Jose Sharks,6,2,REG
2021-11-14,Vegas Golden Knights,Vancouver Canucks,Vegas Golden Knights,Vancouver Canucks,7,4,REG
2021-11-14,Seattle Kraken,Minnesota Wild,Minnesota Wild,Seattle Kraken,4,2,REG
2021-11-14,Ottawa Senators,Calgary Flames,Calgary Flames,Ottawa Senators,4,0,REG
2021-11-15,Boston Bruins,Montreal Canadiens,Boston Bruins,Montreal Canadiens,5,2,REG
2021-11-15,New York Rangers,New Jersey Devils,New York Rangers,New Jersey Devils,4,3,SO
2021-11-15,Washington Capitals,Pittsburgh Penguins,Washington Capitals,Pittsburgh Penguins,5,1,REG
2021-11-15,St. Louis Blues,Edmonton Oilers,Edmonton Oilers,St. Louis Blues,5,4,REG
2021-11-15,Anaheim Ducks,Vancouver Canucks,Anaheim Ducks,Vancouver Canucks,5,1,REG
2021-11-16,Tampa Bay Lightning,New York Islanders,Tampa Bay Lightning,New York Islanders,4,1,REG
2021-11-16,Columbus Blue Jackets,Detroit Red Wings,Columbus Blue Jackets,Detroit Red Wings,5,3,REG
2021-11-17,Toronto Maple Leafs,Nashville Predators,Toronto Maple Leafs,Nashville Predators,3,0,REG
2021-11-17,Florida Panthers,New York Islanders,Florida Panthers,New York Islanders,5,1,REG
2021-11-17,New York Rangers,Montreal Canadiens,New York Rangers,Montreal Canadiens,3,2,REG
2021-11-17,Philadelphia Flyers,Calgary Flames,Philadelphia Flyers,Calgary Flames,2,1,OT
2021-11-17,Pittsburgh Penguins,Buffalo Sabres,Buffalo Sabres,Pittsburgh Penguins,2,1,REG
2021-11-17,St. Louis Blues,Arizona Coyotes,Arizona Coyotes,St. Louis Blues,3,2,REG
2021-11-17,Minnesota Wild,San Jose Sharks,San Jose Sharks,Minnesota Wild,4,1,REG
2021-11-17,Winnipeg Jets,Edmonton Oilers,Winnipeg Jets,Edmonton Oilers,5,2,REG
2021-11-17,Dallas Stars,Detroit Red Wings,Dallas Stars,Detroit Red Wings,5,2,REG
2021-11-17,Vegas Golden Knights,Carolina Hurricanes,Carolina Hurricanes,Vegas Golden Knights,4,2,REG
2021-11-17,Anaheim Ducks,Washington Capitals,Anaheim Ducks,Washington Capitals,3,2,OT
2021-11-18,Vancouver Canucks,Colorado Avalanche,Colorado Avalanche,Vancouver Canucks,4,2,REG
2021-11-18,Seattle Kraken,Chicago Blackhawks,Chicago Blackhawks,Seattle Kraken,4,2,REG
2021-11-18,Los Angeles Kings,Washington Capitals,Washington Capitals,Los Angeles Kings,2,0,REG
2021-11-19,Buffalo Sabres,Calgary Flames,Calgary Flames,Buffalo Sabres,4,0,REG
2021-11-19,Toronto Maple Leafs,New York Rangers,Toronto Maple Leafs,New York Rangers,2,1,REG
2021-11-19,Montreal Canadiens,Pittsburgh Penguins,Pittsburgh Penguins,Montreal Canadiens,4,0,REG
2021-11-19,Florida Panthers,New Jersey Devils,Florida Panthers,New Jersey Devils,4,1,REG
2021-11-19,Philadelphia Flyers,Tampa Bay Lightning,Tampa Bay Lightning,Philadelphia Flyers,4,3,SO
2021-11-19,St. Louis Blues,San Jose Sharks,St. Louis Blues,San Jose Sharks,4,1,REG
2021-11-19,Minnesota Wild,Dallas Stars,Minnesota Wild,Dallas Stars,6,2,REG
2021-11-19,Edmonton Oilers,Winnipeg Jets,Edmonton Oilers,Winnipeg Jets,2,1,SO
2021-11-19,Arizona Coyotes,Columbus Blue Jackets,Columbus Blue Jackets,Arizona Coyotes,5,4,SO
